Accepted.binomial,Accepted.sub1,Accepted.sub2,Accepted.Rank,Family,Extinction.Risk,Locality,Climate,Life.form.orig,Life.form.edited,List,Synonym.binomial,,,,,,,,,,,,
Bulbostylis_warei,na,na,species,Cyperaceae,VU,ALA,G,Hemicr.,WP,Rediscovered,Bulbostylis_warei,,,,,,,,,,,,
Bulbostylis_warei,na,na,species,Cyperaceae,VU,FLA,G,Hemicr.,WP,Rediscovered,Bulbostylis_warei,,,,,,,,,,,,
Bulbostylis_warei,na,na,species,Cyperaceae,VU,GEO,G,Hemicr.,WP,Rediscovered,Bulbostylis_warei,,,,,,,,,,,,
Bulbostylis_warei,na,na,species,Cyperaceae,VU,NCA,G,Hemicr.,WP,Rediscovered,Bulbostylis_warei,,,,,,,,,,,,
Bulbostylis_warei,na,na,species,Cyperaceae,VU,SCA,G,Hemicr.,WP,Rediscovered,Bulbostylis_warei,,,,,,,,,,,,
Butia_leptospatha,na,na,species,,,,,,,Synonym,Syagrus_leptospatha,,,,,,,,,,,,
Byttneria_ivorensis,na,na,species,Malvaceae,EX,IVO,WT,Phan.,WP,Extinct,Byttneria_ivorensis,,,,,,,,,,,,
Cadaba_parvula,na,na,species,Capparaceae,EW,KEN,T,Nanophan.,WP,Extinct,Cadaba_parvula,,,,,,,,,,,,
Caesia_rigidifolia,na,na,species,Xanthorrhoeaceae,EW,WAU,DT,Hemicr.,WP,Extinct,Caesia_rigidifolia,,,,,,,,,,,,
Caladenia_brachyscapa,na,na,species,Orchidaceae,CR,VIC,WT,Tuber_geophyte,HP,Rediscovered,Caladenia_brachyscapa,,,,,,,,,,,,
Caladenia_brachyscapa,na,na,species,Orchidaceae,CR,TAS,WT,Tuber_geophyte,HP,Rediscovered,Caladenia_brachyscapa,,,,,,,,,,,,
Caladenia_carnea,na,na,species,,,,,,,Synonym,Caladenia_atkinsonii,,,,,,,,,,,,
Caladenia_pumila,na,na,species,Orchidaceae,EX,VIC,S,Tuber_geophyte,HP,Extinct,Caladenia_pumila,,,,,,,,,,,,
Calamagrostis_canadensis,var,langsdorfii,var,,,,,,,Synonym,Calamagrostis_nubila,,,,,,,,,,,,
Calamagrostis_drummondii,na,na,species,Poaceae,EN,WAU,S,Hemicr.,WP,Rediscovered,Calamagrostis_drummondii,,,,,,,,,,,,
Calamagrostis_drummondii,na,na,species,,,,,,,Synonym,Deyeuxia_drummondii,,,,,,,,,,,,
Calamagrostis_lawrencei,na,na,species,Poaceae,EX,TAS,S,Hemicryptophyte,HP,Extinct,Calamagrostis_lawrencei,,,,,,,,,,,,
Calamagrostis_lawrencei,na,na,species,,,,,,,Synonym,Deyeuxia_lawrencei,,,,,,,,,,,,
Calamagrostis_simlensis,na,na,species,Poaceae,EW,WHM,G,Hemicr.,WP,Extinct,Calamagrostis_simlensis,,,,,,,,,,,,
Calamagrostis_simlensis,na,na,species,,,,,,,Synonym,Deyeuxia_simlensis,,,,,,,,,,,,
Calandrinia_ciliata,na,na,species,,,,,,,Synonym,Calandrinia_feltonii,,,,,,,,,,,,
Calandrinia_composita,na,na,species,Portulacaceae,DD,WAU,DT,ther.,A,Rediscovered,Calandrinia_composita,,,,,,,,,,,,
Calandrinia_dielsii,na,na,species,Portulacaceae,EW,WAU,DT,ther.,A,Extinct,Calandrinia_dielsii,,,,,,,,,,,,
Calandrinia_sphaerophylla,na,na,species,Portulacaceae,DD,SOA,DT,ther.,A,Rediscovered,Calandrinia_sphaerophylla,,,,,,,,,,,,
Calanthe_ecallosa,na,na,species,Orchidaceae,CR,JAW,WT,Hemicr.,WP,Rediscovered,Calanthe_ecallosa,,,,,,,,,,,,
Calanthe_triplicata,na,na,species,,,,,,,Synonym,Calanthe_breviflos,,,,,,,,,,,,
Calanthe_whiteana,na,na,species,Orchidaceae,CR,EHM,S,Hemicr.,WP,Rediscovered,Calanthe_whiteana,,,,,,,,,,,,
